Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary,ExpectedLead_025km,ExpectedLead_400km
43.003619,-83.737378,0.026401862,6478,28000,28000,0.001333333,1,421.5475186,0.006795918,0.027090623
43.003619,-83.737378,0.026401862,6478,0,0,0.001333333,1,421.5475186,0.006795918,0.027090623
42.995394,-83.737358,0.02398689,6625,0,0,0.026266667,1,6.822828866,0.008015625,0.027065956
43.058915,-83.747951,0.026410287,6715,0,0,0.000333333,0,2689.992022,0,0.027049786
43.022415,-83.735674,0.025154698,6478,0,0,0,0,1114.036368,0.00025,0.027036883
43.012545,-83.728069,0.019751891,6330,14501,14501,0.002782609,1,2178.802083,0.010526042,0.026999285
43.021033,-83.735195,0.025339903,6517,25000,25000,0,0,804.0727292,0.000545455,0.026986018
42.997083,-83.737,0.021095289,6607,9000,9000,0.00125,1,260.0862552,0.022272727,0.026937644
42.997083,-83.737,0.021095289,6631,0,0,0.00125,1,260.0862552,0.022272727,0.026937644
42.998631,-83.744981,0.033709272,6634,9900,9900,0,0,1700.496362,0,0.026920821
42.998631,-83.744981,0.033709272,6742,0,0,0,0,1700.496362,0,0.026920821
43.021614,-83.730202,0.025237838,6406,15000,15000,0.020381579,1,92.53613958,0.003435484,0.026897057
43.025377,-83.726644,0.02346039,6345,10000,10000,0.020363636,1,909.7202083,0.006916667,0.026883043
43.018336,-83.729248,0.021816506,6369,12301,12301,0.011263158,1,1064.792473,0.019353535,0.026873477
43.001185,-83.737945,0.104509502,6643,0,0,0.420384615,1,59.84563534,0.062141304,0.026861999
43.012647,-83.730131,0.021396268,6413,49900,49900,0.001214286,1,1768.003237,0.006401015,0.026842845
43.005048,-83.735599,0.022655403,6448,6750,6750,0,1,1051.93789,0.00516129,0.026840954
43.020985,-83.732183,0.023866543,6436,9500,9500,5.00E-04,0,98.99327541,0.005153846,0.026811163
43.0071,-83.738925,0.027809913,6484,3600,3600,0.003,1,77.42776053,0.014642857,0.026760634
43.00629,-83.7363,0.022565264,6462,8400,8400,0.001055556,1,825.2274718,0.005578947,0.026748892
43.004533,-83.756137,0.015358283,6243,0,0,0.00025,0,3970.723126,0,0.026716948
42.995908,-83.73767,0.02880188,6596,0,0,0.002230769,1,65.9549694,0.0071,0.026698364
42.999971,-83.740111,0.022857142,6316,19900,19900,5.00E-04,0,534.7085974,0.237652174,0.026694041
43.021667,-83.726821,0.021078257,6385,15026,15026,0.004,1,848.1200728,0.007809091,0.02669304
42.997092,-83.73655,0.02105065,6552,29021,29021,0.00125,1,380.5072549,0.021236686,0.026683949
43.026457,-83.728284,0.021846117,6357,13000,13000,0.007461538,1,973.1926016,0.010373626,0.026671452
43.003529,-83.73912,0.027212104,6751,0,0,8.00E-04,1,374.6986179,0.0042,0.026666998
43.004792,-83.739475,0.027113,6538,0,0,0.0075,1,360.0905035,0.018326531,0.026642235
43.012647,-83.730131,0.021526182,6392,0,0,0.001214286,1,1768.003237,0.006407216,0.026639643
43.025473,-83.743794,0.151194288,6485,0,0,4.941444444,0,858.5446366,2.7795625,0.02661679
43.023483,-83.733037,0.023159512,6467,5000,5000,0,0,496.4674293,0.000333333,0.026573126
43.004798,-83.736014,0.021719648,6468,0,0,0,1,922.9379753,0.00557377,0.026571743
43.027343,-83.728839,0.023297003,6363,0,0,0.01,1,1220.711313,0.060680412,0.026569424
43.058614,-83.749073,0.025516129,6635,0,0,0.000333333,0,2995.305605,0,0.026553114
42.999246,-83.736252,0.021315993,6727,12000,12000,0.003371429,1,487.6776738,0.046285714,0.026533992
42.997772,-83.728895,0.018006409,6373,0,0,0.0054,1,1424.321449,0.012290076,0.026528777
43.021074,-83.725483,0.02099746,6379,4000,4000,0.003368421,1,1264.517602,0.015067797,0.026517923
42.997123,-83.735246,0.021834113,6582,0,0,0.000545455,1,662.2227242,0.010980583,0.026503241
43.022769,-83.736914,0.023861067,6734,13500,13500,0,0,1113.437803,0.000307692,0.026500867
43.027377,-83.734134,0.024958492,6484,4100,4100,0,1,721.0355367,0.11815873,0.026491181
42.997551,-83.726187,0.019612506,6345,24000,24000,0.005058824,1,1994.032449,0.01327027,0.026478864
43.020448,-83.730063,0.023478561,6432,7300,7300,0.002,1,355.4577177,0.005669903,0.026473369
43.004258,-83.755733,0.015419739,6243,61000,61000,0.00025,0,3847.071125,0,0.026449517
43.001694,-83.737329,0.025775809,6545,0,0,0.001333333,1,181.1614412,0.076486486,0.026417801
43.003313,-83.738381,0.030262393,6574,0,0,0.001333333,1,301.9795182,0.002568182,0.026410826
43.019269,-83.76068,0.017211347,6314,0,0,0,0,5700.782685,0,0.026359436
43.021667,-83.726821,0.019931612,6328,0,0,0.004,1,848.1200728,0.008525773,0.026355669
43.008632,-83.730376,0.0225144,6352,31000,31000,0.0035,1,2202.544335,0.003641791,0.026334022
43.020607,-83.728842,0.020821894,6415,17225,17225,0.001192308,1,597.5204165,0.005205357,0.026311575
43.026955,-83.72714,0.024800534,6373,34986,34986,0.0048,1,1263.294945,0.008025862,0.026304455
43.022688,-83.724478,0.01794175,6324,500,500,0.00775,1,1388.364079,0.0055,0.026258242
43.028457,-83.740035,0.028091361,6439,0,0,0.001166667,1,396.1390726,0.003123288,0.026250547
43.001281,-83.729039,0.019861666,6373,10500,10500,5.00E-04,1,2224.612967,0.003123288,0.026240304
42.99694,-83.723872,0.019486388,6352,0,0,0.042756098,1,2503.532943,0.026584071,0.026235491
42.998362,-83.722578,0.022855094,6327,0,0,0.042037037,1,2996.966277,0.036,0.026213652
43.001706,-83.736725,0.022040561,6712,15000,15000,0.001333333,1,243.1040543,0.077465753,0.026195992
43.039501,-83.751781,0.024373995,6559,13000,13000,0.000538462,0,3173.3271,0.00325,0.0261936
42.996814,-83.73465,0.022243083,6622,9000,9000,0.000545455,1,557.0512409,0.012322115,0.026176041
43.027258,-83.726108,0.020963691,6372,5500,5500,0.009384615,1,1504.098254,0.007803571,0.026167218
42.993384,-83.731813,0.0234789,6456,25500,25500,0.002333333,1,341.5828064,0.028827957,0.02616076
42.983461,-83.763901,0.020481301,6537,0,0,0.000666667,0,3839.120147,0.002,0.026151275
43.009998,-83.73214,0.031603452,6392,800,800,0.002833333,1,1642.086597,0.020486111,0.026149538
43.025844,-83.725322,0.019106215,6411,5000,5000,0.001666667,1,1297.62099,0.006612903,0.026136001
43.010178,-83.73237,0.027408528,6405,0,0,0.002833333,1,1572.635192,0.022261538,0.026119341
43.008447,-83.729456,0.020953244,6336,0,0,0.000933333,1,2457.180892,0.005368421,0.026090339
43.008447,-83.729456,0.020953244,6336,0,0,0.000933333,1,2457.180892,0.005368421,0.026090339
43.021003,-83.72421,0.019010585,6398,15000,15000,0.003368421,1,1584.973892,0.033585859,0.026084309
42.996584,-83.784898,0.018814541,6327,3200,3200,0,0,9578.824569,0,0.026070552
42.996584,-83.784898,0.0187776,6329,2500,2500,0,0,9578.824569,0,0.026070552
43.001726,-83.736115,0.020469979,6719,0,0,0.001333333,1,358.7688177,0.078555556,0.026063817
42.997777,-83.726719,0.018850094,6367,10660,10660,0.002,1,1904.992652,0.013875,0.026059232
42.987671,-83.769505,0.020480603,6408,0,0,0,0,5415.927792,0,0.026052083
43.026114,-83.734158,0.024341468,6686,0,0,0,1,289.4742005,0.003657895,0.026023567
42.998787,-83.735102,0.021392488,6610,5000,5000,0.014888889,1,789.2579568,0.01286631,0.026010278
42.998787,-83.735102,0.021392488,6574,0,0,0.014888889,1,789.2579568,0.01286631,0.026010278
43.024835,-83.72489,0.018984302,6390,0,0,0.003,1,1251.215343,0.006149254,0.026009232
43.012469,-83.728681,0.019276481,6436,35000,35000,0.002782609,1,2076.768775,0.008427928,0.026007853
43.005559,-83.735914,0.021446596,6490,0,0,0.0386,1,1014.816092,0.006094595,0.025995967
42.998397,-83.737488,0.031671182,6278,501,501,0.0575,1,146.4044551,0.027157143,0.025959338
43.025348,-83.743371,0.605510486,6656,13500,13500,4.941444444,0,860.2024013,2.340736842,0.02595148
43.000967,-83.739361,0.022898596,6279,0,0,0.003,0,321.4783112,0.238304348,0.025939415
42.996345,-83.733592,0.021928022,6546,0,0,0.053809524,1,399.3096603,0.016114894,0.025935135
43.004703,-83.738192,0.030764424,6566,100,100,0.0055,1,702.035905,0.015741379,0.025929172
43.026872,-83.7341,0.024140522,6670,10700,10700,0,1,552.6882333,0.017115385,0.025916658
43.026066,-83.729874,0.030288522,6464,3500,3500,0.000714286,1,686.7819395,0.006377358,0.025913822
43.010939,-83.73202,0.041875847,6405,12900,12900,0.042911765,1,1659.721856,0.016712766,0.025887925
43.025478,-83.726962,0.022900858,6441,6000,6000,0.020363636,1,866.2607754,0.007223404,0.02588242
43.04239,-83.751098,0.025998883,6399,38000,38000,0,0,3668.419336,0.00325,0.025878853
43.024744,-83.728206,0.021394304,6447,16300,16300,0.006571429,1,440.2012792,0.008216667,0.025870108
42.995977,-83.725296,0.020045835,6391,0,0,0.001571429,1,2061.672414,0.008890756,0.025856315
43.023018,-83.734079,0.023923026,6516,9000,9000,0,0,755.1073331,0.000333333,0.025854784
43.027919,-83.73204,0.021494116,6481,2800,2800,0.0015,1,1107.403581,0.092410714,0.025849713
43.05931,-83.744669,0.029204382,6715,0,0,0.000333333,0,1806.431603,0.001,0.025849364
43.012153,-83.729376,0.020175948,6462,24600,24600,0.001214286,1,2035.092855,0.005887892,0.025848979
43.0071,-83.729095,0.020299129,6364,11000,11000,0.000933333,1,2651.630928,0.11076699,0.025839067
43.022285,-83.740955,0.033491592,6601,10000,10000,0.000285714,0,1668.032856,0.000375,0.025823728
42.995977,-83.725296,0.020194324,6406,0,0,0.001571429,1,2061.672414,0.008833333,0.025774386
43.023153,-83.719427,0.021112854,6358,5000,5000,0.003727273,1,2679.902892,0.00975,0.025749497
43.000507,-83.731985,0.026536074,6471,1100,1100,0.001142857,1,1545.058072,0.006696203,0.025745685
