Latitude,Longitude,LeadLevel,Month,SalesPrice,LoanAmount,CensusBlock,InService,DistToBoundary
42.814358,-83.85635,0.018484186,210,3.00E+05,3.00E+05,0,0,56051.36799
42.979487,-83.668391,0,13,3.00E+05,3.00E+05,0,0,899.0870276
42.895185,-83.600527,0,186,299900,299900,0.001,0,34700.0692
43.040961,-83.807863,0,84,299782,299782,0,0,17620.64112
42.938546,-83.584773,0,175,299750,299750,0,0,24316.69969
43.018504,-83.790397,0,62,299250,299250,0,0,13182.27863
43.035178,-83.787552,0,89,299000,299000,0,0,12012.36634
42.893697,-83.59952,0,121,298000,298000,0.001,0,35305.31383
42.991755,-83.729302,0,108,297379,297379,0.002090909,1,998.2764313
42.991755,-83.729302,0,96,295000,295000,0.002090909,1,998.2764313
43.019728,-83.799406,0,82,295000,295000,0,0,15434.07836
43.022245,-83.793568,0,23,295000,295000,0,0,13741.5082
42.894195,-83.597013,0,44,293500,293500,0.001,0,35422.27001
43.027099,-83.808055,0,35,293000,293000,0,0,17471.65073
43.040961,-83.807863,0,170,292500,292500,0,0,17620.64112
42.910282,-83.712789,0,99,291240,291240,0.00075,0,14717.94078
42.906971,-83.639842,0,39,290000,290000,0.006,0,27600.73573
42.892218,-83.597189,0,72,290000,290000,0.001,0,36054.90927
42.894195,-83.597013,0,45,290000,290000,0.001,0,35422.27001
43.085005,-83.837309,0,4,290000,290000,0,0,27947.64368
43.029193,-83.801606,0,54,290000,290000,0,0,15755.19744
42.898001,-83.598072,0,52,289877,289877,0.001,0,34048.96003
42.996841,-83.719348,0,90,289000,289000,0.0058,1,3121.441332
43.056289,-83.827559,0,125,288598,288598,0,0,23985.75131
43.03313,-83.790253,0,56,288066,288066,0,0,12729.26251
42.990405,-83.726709,0,78,287500,287500,0.021617647,1,1192.481935
42.905219,-83.638244,0,37,285000,285000,0.006,0,28292.94446
42.902082,-83.594831,0,153,285000,285000,0.001,0,33121.71372
43.038448,-83.815709,0,57,285000,285000,0,0,19600.37738
43.029466,-83.805665,0,81,285000,285000,0,0,16843.34886
43.033565,-83.787803,0,86,285000,285000,0,0,12071.62713
43.023087,-83.775592,0,83,285000,285000,0,0,8949.47866
42.902708,-83.595258,0,157,284000,284000,0.001,0,32866.61995
43.005465,-83.706139,0,74,282000,282000,0.0168,1,6969.620399
43.056544,-83.828385,0.011315873,200,282000,282000,0,0,24201.08696
43.032429,-83.790781,0,57,281300,281300,0,0,12878.73347
43.028664,-83.802623,0,118,281134,281134,0,0,16021.60823
43.082938,-83.597859,0,165,280991,280991,0.000111111,0,9864.244172
43.041085,-83.810404,0,3,280500,280500,0,0,18299.34809
42.895262,-83.597166,0,80,280000,280000,0.001,0,35053.54259
42.906811,-83.700427,0.016012244,223,280000,280000,0.00075,0,17569.3478
43.148074,-83.803611,0,188,280000,280000,0,0,32548.51945
