Latitude,Longitude,LeadLevel,Time,SalesPrice,LoanAmount,CensusBlockLeadMean,InServiceLine,DistToBoundary
42.993073,-83.726682,0,1057,265000,265000,0.005125,1,1711.001864
43.055784,-83.825892,0.04272171,5908,265000,265000,0,0,23550.97166
43.0405,-83.805517,0,1329,265000,265000,0,0,16975.92143
42.891896,-83.59712,0,3123,264502,264502,0.001,0,36169.21085
42.903099,-83.640835,0,199,264000,264000,0.006,0,28966.89213
42.995041,-83.721176,0.024628448,6601,263900,263900,0.177666667,1,2445.68948
42.967182,-83.820762,0,2019,263900,263900,0,0,13057.62484
43.037741,-83.813178,0,1248,263680,263680,0,0,18905.61987
43.024074,-83.778012,0,596,262900,262900,0.002,0,9529.360989
42.927695,-83.706198,0,976,262500,262500,0.069,0,11007.26119
43.031739,-83.789349,0,3354,262000,262000,0,0,12509.78542
42.98125,-83.762881,0,4916,261687,261687,0.000666667,0,3026.692725
42.904434,-83.696444,0,2228,261456,261456,0.00075,0,18901.97751
42.90518,-83.640552,0,2652,261349,261349,0.006,0,28223.34996
43.0348,-83.788784,0,2542,261000,261000,0,0,12337.20915
43.030968,-83.689595,0,2263,260700,260700,8.00E-05,1,10948.49971
43.050787,-83.81135,0,5166,260531,260531,0,0,19364.87917
43.025627,-83.8065,0,206,260500,260500,0,0,17071.34931
43.003075,-83.70981,0,2943,260344,260344,0.006,1,5783.026866
43.040666,-83.807642,0.017581826,6750,260000,260000,0,0,17546.85286
43.013919,-83.794799,0,2898,260000,260000,0,0,14804.44902
43.023676,-83.777935,0,610,259900,259900,0.002,0,9530.202162
42.933524,-83.574709,0,5698,259900,259900,0,0,27482.70476
42.906209,-83.700398,0,4703,257987,257987,0.00075,0,17751.351
42.905045,-83.636913,0,2151,257000,257000,0.006,0,28409.83789
42.908345,-83.639419,0,2655,257000,257000,0.006,0,27120.3372
42.898001,-83.598072,0,694,257000,257000,0.001,0,34048.96003
42.899164,-83.598306,0.013221829,6056,257000,257000,0.001,0,33640.5907
43.024891,-83.805401,0.017905501,6709,257000,257000,0,0,16792.06151
43.01975,-83.798805,0,1826,257000,257000,0,0,15274.74713
43.012821,-83.794837,0,2103,256900,256900,0,0,14728.54229
42.898001,-83.598072,0,829,256550,256550,0.001,0,34048.96003
43.086691,-83.751044,0,5874,256282,256282,6.00E-04,0,6323.174315
42.894368,-83.597906,0,3136,255973,255973,0.001,0,35263.35517
42.989936,-83.731947,0,1746,255000,255000,0.024235955,1,274.2604479
43.004631,-83.70775,0,1317,255000,255000,0.01615625,1,6514.731618
42.908326,-83.639101,0,2838,255000,255000,0.006,0,27139.31487
42.991216,-83.653382,0,2390,255000,255000,0.001419355,1,702.8352012
42.888445,-83.593482,0,3838,255000,255000,0.001,0,37721.13898
